left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
1,1,1,0.000325679779053,1.936,1.694
1,1,1,0.000327587127686,1.936,1.694
1,1,1,0.000651836395264,1.936,1.694
1,1,1,0.000322818756104,1.936,1.694
1,1,1,0.00032639503479,1.936,1.694
1,1,1,0.000313997268677,1.936,1.694
1,1,1,0.000351190567017,1.936,1.694
1,1,1,0.000349998474121,1.936,1.694
1,1,1,0.000306367874146,1.936,1.694
1,1,1,0.000310182571411,1.936,1.694
1,1,1,0.000309467315674,1.936,1.694
1,1,1,0.00030517578125,1.936,1.694
1,1,1,0.000321865081787,1.936,1.694
1,1,1,0.00032377243042,1.936,1.694
1,1,1,0.000664234161377,1.936,1.694
1,1,1,0.000303030014038,1.936,1.694
1,1,1,0.000315189361572,1.936,1.694
1,1,1,0.000322341918945,1.936,1.694
1,1,1,0.000319957733154,1.936,1.694
1,1,1,0.000323295593262,1.936,1.694
1,1,1,0.000657796859741,1.936,1.694
1,1,1,0.000302076339722,1.936,1.694
1,1,1,0.000307083129883,1.936,1.694
1,1,1,0.000325679779053,1.936,1.694
1,1,1,0.000323057174683,1.936,1.694
1,1,1,0.000321865081787,1.936,1.694
1,0,0,0.000658750534058,1.936,1.694
0,0,1,0.000615835189819,1.936,1.694
0,1,1,0.000523567199707,1.936,1.694
0,1,1,0.000447750091553,1.936,1.694
0,1,1,0.0004723072052,1.936,1.694
0,1,1,0.000474452972412,1.936,1.694
1,0,0,0.000325202941895,1.936,1.694
1,1,1,0.000679969787598,1.936,1.694
1,1,1,0.000643253326416,1.936,1.694
1,1,1,0.000296354293823,1.936,1.694
1,1,1,0.000327348709106,1.936,1.694
1,1,1,0.000304460525513,1.936,1.694
1,1,1,0.000298976898193,1.936,1.694
1,1,1,0.000316143035889,1.936,1.694
1,1,1,0.000652074813843,1.936,1.694
1,1,1,0.000643491744995,1.936,1.694
1,1,1,0.000320196151733,1.936,1.694
1,1,1,0.000322580337524,1.936,1.694
1,1,1,0.000323534011841,1.936,1.694
1,1,1,0.000315427780151,1.936,1.694
1,1,1,0.00032114982605,1.936,1.694
1,1,1,0.000702619552612,1.936,1.694
1,1,1,0.000673532485962,1.936,1.694
1,1,1,0.000329971313477,1.936,1.694
1,1,1,0.000304698944092,1.936,1.694
1,1,1,0.000323534011841,1.936,1.694
1,1,1,0.000329971313477,1.936,1.694
1,1,1,0.000320672988892,1.936,1.694
1,1,1,0.000649929046631,1.936,1.694
1,1,1,0.00030517578125,1.936,1.694
1,1,1,0.000318288803101,1.936,1.694
1,1,1,0.000301599502563,1.936,1.694
1,1,1,0.000300645828247,1.936,1.694
1,1,1,0.000326871871948,1.936,1.694
1,1,0,0.000978469848633,1.694,1.936
1,0,0,0.000321388244629,1.694,1.936
1,1,1,0.000353813171387,1.694,1.936
1,1,1,0.000312805175781,1.694,1.936
1,1,1,0.000320911407471,1.694,1.936
1,1,1,0.000304222106934,1.694,1.936
1,1,1,0.000653505325317,1.694,1.936
1,1,1,0.000621318817139,1.694,1.936
1,1,1,0.000329971313477,1.694,1.936
1,1,1,0.000307321548462,1.694,1.936
1,1,1,0.000319480895996,1.694,1.936
1,1,1,0.000323295593262,1.694,1.936
